Time,Load
(sec),(N)
47,22.18749
47.1,22.31604
47.2,22.45365
47.3,22.58489
47.4,22.71922
47.5,22.84415
47.6,22.99196
47.7,23.10051
47.8,23.25138
47.9,23.37953
48,23.50799
48.1,23.65231
48.2,23.79435
48.3,23.93988
48.4,24.07413
48.5,24.2273
48.6,24.35974
48.7,24.50722
48.8,24.6617
48.9,24.78448
49,24.91118
49.1,25.07115
49.2,25.20159
49.3,25.35612
49.4,25.48542
49.5,25.64693
49.6,25.78919
49.7,25.94416
49.8,26.07819
49.9,26.22458
50,26.38924
50.1,26.50678
50.2,26.69716
50.3,26.85799
50.3528,26.92654
50.4,27.00713
50.5,27.15625
50.6,27.30716
50.7,27.47477
50.8,27.6065
50.9,27.77999
51,27.91193
51.1,28.08551
51.2,28.22478
51.3,28.3782
51.4,28.54012
51.5,28.66989
51.6,28.86557
51.7,29.00341
51.8,29.21447
51.9,29.35676
52,29.54034
52.1,29.68551
52.2,29.85163
52.3,30.02271
52.4,30.17604
52.5,30.35944
52.6,30.51834
52.7,30.68933
52.8,30.85249
52.9,31.01417
53,31.20803
53.1,31.38376
53.2,31.58288
53.3,31.75471
53.4,31.90905
53.4598,32.01384
53.5,32.09529
53.6,32.25477
53.7,32.45873
53.8,32.61895
53.9,32.82882
54,33.01191
54.1,33.21409
54.2,33.40569
54.3,33.58775
54.4,33.78465
54.5,33.97151
54.6,34.15307
54.7,34.32783
54.8,34.5179
54.9,34.71548
55,34.90989
55.1,35.15769
55.2,35.32498
55.3,35.54842
55.4,35.74233
55.5,35.94111
55.6,36.16302
55.7,36.35792
55.8,36.55218
55.9,36.75301
55.9858,36.91138
56,36.96498
56.1,37.13321
56.2,37.36733
56.3,37.58491
56.4,37.77771
56.5,37.99941
56.6,38.19598
56.7,38.41208
56.8,38.61024
56.9,38.83535
57,39.04602
57.1,39.23395
57.2,39.44385
57.3,39.64525
57.4,39.87445
57.5,40.07406
57.6,40.27309
57.7,40.51916
57.8,40.72789
57.9,40.94839
58,41.17247
58.1,41.37299
58.2,41.56892
58.3,41.75209
58.4,41.99382
58.4148,42.01658
58.5,42.19572
58.6,42.42818
58.7,42.66885
58.8,42.90521
58.9,43.13259
59,43.34207
59.1,43.59967
59.2,43.81742
59.3,44.06054
59.4,44.25374
59.5,44.50557
59.6,44.73484
59.7,44.95632
59.8,45.22315
59.9,45.46157
60,45.71876
60.1,45.92142
60.2,46.16417
60.3,46.40407
60.4,46.6187
60.5,46.89792
60.5218,46.93316
60.6,47.15077
60.7,47.42408
60.8,47.65623
60.9,47.92445
61,48.15083
61.1,48.38783
61.2,48.72928
61.3,48.99973
61.4,49.28108
61.5,49.53526
61.6,49.79116
61.7,50.04378
61.8,50.30042
61.9,50.57162
62,50.83726
62.1,51.10335
62.2,51.35087
62.3,51.6199
62.4,51.88855
62.4468,52.00341
62.5,52.14814
62.6,52.42814
62.7,52.67662
62.8,52.95487
62.9,53.21683
63,53.46781
63.1,53.7362
63.2,54.00013
63.3,54.28512
63.4,54.54464
63.5,54.84133
63.6,55.10039
63.7,55.37026
63.8,55.6415
63.9,55.91342
64,56.22388
64.1,56.45661
64.2,56.78795
64.2428,56.88289
64.3,57.04401
64.4,57.33233
64.5,57.61603
64.6,57.8849
64.7,58.18121
64.8,58.44202
64.9,58.77531
65,59.05179
65.1,59.33832
65.2,59.6177
65.3,59.90907
65.4,60.19686
65.5,60.48635
65.6,60.8056
65.7,61.09849
65.79999,61.40073
65.9,61.67108
66,61.96242
66.0118,61.99141
66.1,62.26061
66.2,62.54683
66.29999,62.84819
66.4,63.14987
66.5,63.45227
66.6,63.74865
66.7,64.04324
66.79999,64.3639
66.9,64.64752
67,64.95187
67.1,65.23515
67.2,65.56304
67.29999,65.85822
67.4,66.13189
67.5,66.46457
67.6,66.74108
67.6568,66.94379
67.7,67.08106
67.79999,67.36872
67.9,67.70305
68,68.00667
68.1,68.2918
68.2,68.62176
68.29999,68.89582
68.4,69.22986
68.5,69.51835
68.6,69.85511
68.7,70.14976
68.79999,70.44917
68.9,70.77794
69,71.06376
69.1,71.39979
69.2,71.69104
69.2578,71.87515
69.29999,72.03592
69.4,72.32627
69.5,72.66859
69.6,72.96298
69.7,73.28081
69.79999,73.61328
69.9,73.92115
70,74.24822
70.1,74.5624
70.2,74.90435
70.29999,75.22855
70.4,75.53895
70.5,75.87456
70.6,76.1967
70.7,76.52665
70.79999,76.86237
70.8528,77.02814
70.9,77.18629
71,77.52472
71.1,77.86177
71.2,78.1702
71.29999,78.5012
71.4,78.82833
71.5,79.18527
71.6,79.50912
71.7,79.86052
71.79999,80.15617
71.9,80.53327
72,80.83849
72.1,81.17867
72.2,81.54019
72.29999,81.87023
72.3058,81.89008
72.4,82.22138
72.5,82.53514
72.6,82.89865
72.7,83.20707
72.79999,83.56422
72.9,83.89782
73,84.24432
73.1,84.60148
73.2,84.92932
73.29999,85.30254
73.4,85.60701
73.5,85.98226
73.6,86.3561
73.7,86.71732
73.7628,86.92288
73.79999,87.04777
73.9,87.37196
74,87.74868
74.1,88.06784
74.2,88.45352
74.29999,88.81365
74.4,89.18305
74.5,89.53027
74.6,89.87214
74.7,90.25772
74.79999,90.60528
74.9,90.99901
75,91.36783
75.1,91.72279
75.1388,91.88595
75.2,92.24217
75.29999,92.58287
75.4,92.96291
75.5,93.34378
75.6,93.7077
75.7,94.08148
75.79999,94.4742
75.9,94.87304
76,95.23149
76.1,95.63109
76.2,96.02363
76.29999,96.38352
76.4,96.79469
76.4448,96.95557
76.5,97.17911
76.6,97.60463
76.7,97.98065
76.79999,98.38327
76.9,98.7741
77,99.14627
77.1,99.54894
77.2,99.92551
77.29999,100.35764
77.4,100.72327
77.5,101.14841
77.6,101.50152
77.7,101.89788
77.7088,101.91114
77.79999,102.30712
77.9,102.73492
78,103.14022
78.1,103.52496
78.2,103.94359
78.29999,104.34309
78.4,104.77342
78.5,105.16793
78.6,105.56691
78.7,105.98522
78.79999,106.38544
78.9,106.80017
78.9428,106.96242
79,107.1982
79.1,107.65542
79.2,107.93198
79.29999,108.23306
79.4,108.53318
79.5,108.79785
79.6,109.09128
79.7,109.35756
79.79999,109.65472
79.9,109.93338
80,110.19865
80.1,110.53088
80.2,110.81346
80.29999,111.0823
80.4,111.37725
80.5,111.66612
80.5628,111.84004
80.6,111.96864
80.7,112.25779
80.79999,112.58981
80.9,112.84749
81,113.16855
81.1,113.4294
81.2,113.71834
81.29999,114.055
81.4,114.30363
81.5,114.6298
81.6,114.89581
81.7,115.24519
81.79999,115.50909
81.9,115.81359
82,116.12032
82.1,116.40073
82.2,116.77985
82.2168,116.77737
82.29999,117.05858
82.4,117.39045
82.5,117.63001
82.6,117.97314
82.7,118.26599
82.79999,118.5774
82.9,118.90857
83,119.16777
83.1,119.52972
83.2,119.78693
83.29999,120.13161
83.4,120.39794
83.5,120.73124
83.6,121.01708
83.7,121.30917
83.79999,121.64593
83.9,121.92889
83.9038,121.94517
84,122.23382
84.1,122.53174
