Time,Load,Cycle
52.6,30.518340000000002,1
52.7,30.689329999999998,1
52.8,30.852490000000003,1
52.9,31.01417,1
53.0,31.208029999999997,1
53.1,31.38376,1
53.2,31.58288,1
53.3,31.75471,1
53.4,31.90905,1
53.4598,32.01384,1
53.5,32.095290000000006,1
53.6,32.25477,1
53.7,32.458729999999996,1
53.8,32.61895,1
53.9,32.82882,1
54.0,33.01191,1
54.1,33.21409,1
54.2,33.40569,1
54.3,33.58775,1
54.4,33.78465,1
54.5,33.971509999999995,1
54.6,34.15307,1
54.7,34.32783,1
54.8,34.5179,1
54.9,34.71548,1
55.0,34.909890000000004,1
55.1,35.15769,1
55.2,35.32498,1
55.3,35.54842,1
55.4,35.742329999999995,1
55.5,35.941109999999995,1
55.6,36.16302,1
55.7,36.35792,1
55.8,36.55218,1
55.9,36.753009999999996,1
55.9858,36.91138,1
56.0,36.96498,1
56.1,37.13321,1
56.2,37.367329999999995,1
56.3,37.58491,1
56.4,37.77771,1
56.5,37.99941,1
56.6,38.19598,1
56.7,38.412079999999996,1
56.8,38.610240000000005,1
56.9,38.83535,1
57.0,39.04602,1
57.1,39.23395,1
57.2,39.44385,1
57.3,39.64525,1
57.4,39.87445,1
57.5,40.074059999999996,1
57.6,40.27309,1
57.7,40.51916,1
57.8,40.72789,1
57.9,40.94839,1
58.0,41.172470000000004,1
58.1,41.37299,1
58.2,41.56892,1
58.3,41.75209,1
58.4,41.99382,1
58.4148,42.01658,1
58.5,42.19572,1
58.6,42.42818,1
58.7,42.66885,1
58.8,42.90521,1
58.9,43.13259,1
59.0,43.34207,1
59.1,43.59967,1
59.2,43.81742,1
59.3,44.06054,1
59.4,44.25374,1
59.5,44.50557,1
59.6,44.734840000000005,1
59.7,44.95632,1
59.8,45.22315,1
59.9,45.46157,1
60.0,45.718759999999996,1
60.1,45.92142,1
60.2,46.16417,1
60.3,46.404070000000004,1
60.4,46.6187,1
60.5,46.89792,1
60.5218,46.93316,1
60.6,47.15077,1
60.7,47.42408,1
60.8,47.65623,1
60.9,47.92445,1
61.0,48.15083,1
61.1,48.38783,1
61.2,48.729279999999996,1
61.3,48.99973,1
61.4,49.281079999999996,1
61.5,49.53526,1
61.6,49.79116,1
61.7,50.04378,1
61.8,50.30042,1
61.9,50.57162,1
62.0,50.83726,1
62.1,51.10335,1
62.2,51.35087,1
62.3,51.6199,1
62.4,51.88855,1
62.4468,52.003409999999995,1
62.5,52.148140000000005,1
62.6,52.42814,1
62.7,52.67661999999999,1
62.8,52.95486999999999,1
62.9,53.21683,1
63.0,53.46781,1
63.1,53.7362,1
63.2,54.000130000000006,1
63.3,54.28511999999999,1
63.4,54.54464,1
63.5,54.841330000000006,1
63.6,55.100390000000004,1
63.7,55.370259999999995,1
63.8,55.6415,1
63.9,55.913419999999995,1
64.0,56.22388,1
64.1,56.45661,1
64.2,56.78795,1
64.2428,56.88289,1
64.3,57.04401,1
64.4,57.332330000000006,1
64.5,57.61603,1
64.6,57.8849,1
64.7,58.18121,1
64.8,58.44201999999999,1
64.9,58.77531,1
65.0,59.051790000000004,1
65.1,59.338319999999996,1
